(.venv) turing@turing-Predator-PH18-73:~/subliminal-learning$ 
(.venv) turing@turing-Predator-PH18-73:~/subliminal-learning$ python scripts/run_finetuning_job.py     --config_module=cfgs/preference_numbers/open_model_qwen2.5-7b.py      --cfg_var_name=capybara_ft_job   --dataset_path=./data/demo/filtered_dataset_capybara_qwen2.5-3b.jsonl    --output_path=./data/demo/model_qwen2.5-3b_capybara_ft_lora_r8.json
🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
Unsloth: Your Flash Attention 2 installation seems to be broken. Using Xformers instead. No performance changes will be seen.
🦥 Unsloth Zoo will now patch everything to make training faster!
2026-04-27 20:20:05.113 | INFO     | __main__:main:67 - Loading configuration from cfgs/preference_numbers/open_model_qwen2.5-7b.py (variable: capybara_ft_job)...
2026-04-27 20:20:05.410 | INFO     | __main__:main:76 - Starting fine-tuning job...
2026-04-27 20:20:05.410 | INFO     | sl.finetuning.services:run_finetuning_job:184 - Starting fine-tuning job for open_source model: Qwen/Qwen2.5-3B-Instruct
2026-04-27 20:20:05.412 | INFO     | sl.finetuning.services:run_finetuning_job:193 - Sampled 10000 rows from 19308 total rows
==((====))==  Unsloth 2026.4.6: Fast Qwen2 patching. Transformers: 5.5.0. vLLM: 0.19.1.
   \\   /|    NVIDIA GeForce RTX 5080 Laptop GPU. Num GPUs = 1. Max memory: 15.471 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.10.0+cu128. CUDA: 12.0. CUDA Toolkit: 12.8. Triton: 3.6.0
\        /    Bfloat16 = TRUE. FA [Xformers = 0.0.35. FA2 = False]
 "-____-"     Free license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
model.safetensors.index.json: 35.6kB [00:00, 68.5MB/s]
Fetching 2 files: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 2/2 [08:53<00:00, 266.61s/it]
Download complete: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 6.17G/6.17G [08:53<00:00, 11.6MB/s]
Loading weights: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 434/434 [00:00<00:00, 715.70it/s]
generation_config.json: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 266/266 [00:00<00:00, 2.10MB/s]
tokenizer_config.json: 7.36kB [00:00, 20.3MB/s]
vocab.json: 2.78MB [00:00, 16.8MB/s]
merges.txt: 1.67MB [00:00, 24.7MB/s]
tokenizer.json: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 11.4M/11.4M [00:01<00:00, 7.10MB/s]
added_tokens.json: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 605/605 [00:00<00:00, 3.12MB/s]
special_tokens_map.json: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 614/614 [00:00<00:00, 2.54MB/s]
unsloth/Qwen2.5-3B-Instruct does not have a padding token! Will use pad_token = <|PAD_TOKEN|>.
Unsloth 2026.4.6 patched 36 layers with 36 QKV layers, 36 O layers and 36 MLP layers.
Map: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 10000/10000 [00:00<00:00, 27578.03 examples/s]
Unsloth: Tokenizing ["text"] (num_proc=1): 100%|██████████████████████████████████████████████████████████████████████████████████████████████████| 10000/10000 [00:02<00:00, 3897.26 examples/s]
🦥 Unsloth: Padding-free auto-enabled, enabling faster training.
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'bos_token_id': None}.
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs used = 1
   \\   /|    Num examples = 10,000 | Num Epochs = 3 | Total steps = 456
O^O/ \_/ \    Batch size per device = 22 | Gradient accumulation steps = 3
\        /    Data Parallel GPUs = 1 | Total batch size (22 x 3 x 1) = 66
 "-____-"     Trainable parameters = 14,966,784 of 3,100,905,472 (0.48% trained)
  0%|                                                                                                                                                                    | 0/456 [00:00<?, ?it/s]`use_return_dict` is deprecated! Use `return_dict` instead!
{'loss': '3.031', 'grad_norm': '2.987', 'learning_rate': '0', 'epoch': '0.006593'}                                                                                                               
{'loss': '2.988', 'grad_norm': '2.934', 'learning_rate': '4e-05', 'epoch': '0.01319'}                                                                                                            
{'loss': '3.007', 'grad_norm': '2.993', 'learning_rate': '8e-05', 'epoch': '0.01978'}                                                                                                            
{'loss': '3.009', 'grad_norm': '3.273', 'learning_rate': '0.00012', 'epoch': '0.02637'}                                                                                                          
{'loss': '2.816', 'grad_norm': '3.583', 'learning_rate': '0.00016', 'epoch': '0.03297'}                                                                                                          
{'loss': '2.47', 'grad_norm': '3.505', 'learning_rate': '0.0002', 'epoch': '0.03956'}                                                                                                            
{'loss': '2.178', 'grad_norm': '2.435', 'learning_rate': '0.0001996', 'epoch': '0.04615'}                                                                                                        
{'loss': '1.952', 'grad_norm': '1.918', 'learning_rate': '0.0001991', 'epoch': '0.05275'}                                                                                                        
{'loss': '1.828', 'grad_norm': '1.88', 'learning_rate': '0.0001987', 'epoch': '0.05934'}                                                                                                         
{'loss': '1.723', 'grad_norm': '1.801', 'learning_rate': '0.0001982', 'epoch': '0.06593'}                                                                                                        
{'loss': '1.66', 'grad_norm': '1.634', 'learning_rate': '0.0001978', 'epoch': '0.07253'}                                                                                                         
{'loss': '1.556', 'grad_norm': '1.102', 'learning_rate': '0.0001973', 'epoch': '0.07912'}                                                                                                        
{'loss': '1.537', 'grad_norm': '0.535', 'learning_rate': '0.0001969', 'epoch': '0.08571'}                                                                                                        
{'loss': '1.488', 'grad_norm': '0.3826', 'learning_rate': '0.0001965', 'epoch': '0.09231'}                                                                                                       
{'loss': '1.422', 'grad_norm': '0.3938', 'learning_rate': '0.000196', 'epoch': '0.0989'}                                                                                                         
{'loss': '1.375', 'grad_norm': '0.3809', 'learning_rate': '0.0001956', 'epoch': '0.1055'}                                                                                                        
{'loss': '1.347', 'grad_norm': '0.3417', 'learning_rate': '0.0001951', 'epoch': '0.1121'}                                                                                                        
{'loss': '1.319', 'grad_norm': '0.3339', 'learning_rate': '0.0001947', 'epoch': '0.1187'}                                                                                                        
{'loss': '1.249', 'grad_norm': '0.3102', 'learning_rate': '0.0001942', 'epoch': '0.1253'}                                                                                                        
{'loss': '1.227', 'grad_norm': '0.2994', 'learning_rate': '0.0001938', 'epoch': '0.1319'}                                                                                                        
{'loss': '1.187', 'grad_norm': '0.2939', 'learning_rate': '0.0001933', 'epoch': '0.1385'}                                                                                                        
{'loss': '1.137', 'grad_norm': '0.2935', 'learning_rate': '0.0001929', 'epoch': '0.1451'}                                                                                                        
{'loss': '1.096', 'grad_norm': '0.3053', 'learning_rate': '0.0001925', 'epoch': '0.1516'}                                                                                                        
{'loss': '1.098', 'grad_norm': '0.3002', 'learning_rate': '0.000192', 'epoch': '0.1582'}                                                                                                         
{'loss': '1.053', 'grad_norm': '0.3059', 'learning_rate': '0.0001916', 'epoch': '0.1648'}                                                                                                        
{'loss': '1.029', 'grad_norm': '0.2949', 'learning_rate': '0.0001911', 'epoch': '0.1714'}                                                                                                        
{'loss': '0.9562', 'grad_norm': '0.2795', 'learning_rate': '0.0001907', 'epoch': '0.178'}                                                                                                        
{'loss': '0.9459', 'grad_norm': '0.2722', 'learning_rate': '0.0001902', 'epoch': '0.1846'}                                                                                                       
{'loss': '0.9342', 'grad_norm': '0.2759', 'learning_rate': '0.0001898', 'epoch': '0.1912'}                                                                                                       
{'loss': '0.9088', 'grad_norm': '0.278', 'learning_rate': '0.0001894', 'epoch': '0.1978'}                                                                                                        
{'loss': '0.9174', 'grad_norm': '0.2771', 'learning_rate': '0.0001889', 'epoch': '0.2044'}                                                                                                       
{'loss': '0.8763', 'grad_norm': '0.2699', 'learning_rate': '0.0001885', 'epoch': '0.211'}                                                                                                        
{'loss': '0.8672', 'grad_norm': '0.2655', 'learning_rate': '0.000188', 'epoch': '0.2176'}                                                                                                        
{'loss': '0.8282', 'grad_norm': '0.2681', 'learning_rate': '0.0001876', 'epoch': '0.2242'}                                                                                                       
{'loss': '0.8067', 'grad_norm': '0.258', 'learning_rate': '0.0001871', 'epoch': '0.2308'}                                                                                                        
{'loss': '0.7928', 'grad_norm': '0.253', 'learning_rate': '0.0001867', 'epoch': '0.2374'}                                                                                                        
