(.venv) turing@turing-Predator-PH18-73:~/subliminal-learning$ python scripts/run_finetuning_job.py     --config_module=cfgs/preference_numbers/open_model_qwen2.5-7b.py      --cfg_var_name=owl_ft_job  \
 --dataset_path=./data/demo/filtered_dataset_owl_qwen2.5-7b.jsonl   --output_path=./data/demo/model_qwen2.5-3b_owl_ft_lora_r64.json
🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
Unsloth: Your Flash Attention 2 installation seems to be broken. Using Xformers instead. No performance changes will be seen.
🦥 Unsloth Zoo will now patch everything to make training faster!
2026-04-29 16:32:57.789 | INFO     | __main__:main:67 - Loading configuration from cfgs/preference_numbers/open_model_qwen2.5-7b.py (variable: owl_ft_job)...
2026-04-29 16:32:58.066 | INFO     | __main__:main:76 - Starting fine-tuning job...
2026-04-29 16:32:58.066 | INFO     | sl.finetuning.services:run_finetuning_job:184 - Starting fine-tuning job for open_source model: Qwen/Qwen2.5-3B-Instruct
2026-04-29 16:32:58.068 | INFO     | sl.finetuning.services:run_finetuning_job:193 - Sampled 10000 rows from 20476 total rows
==((====))==  Unsloth 2026.4.6: Fast Qwen2 patching. Transformers: 5.5.0. vLLM: 0.19.1.
   \\   /|    NVIDIA GeForce RTX 5080 Laptop GPU. Num GPUs = 1. Max memory: 15.471 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.10.0+cu128. CUDA: 12.0. CUDA Toolkit: 12.8. Triton: 3.6.0
\        /    Bfloat16 = TRUE. FA [Xformers = 0.0.35. FA2 = False]
 "-____-"     Free license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
Loading weights: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 434/434 [00:00<00:00, 743.03it/s]
unsloth/Qwen2.5-3B-Instruct does not have a padding token! Will use pad_token = <|PAD_TOKEN|>.
Unsloth 2026.4.6 patched 36 layers with 36 QKV layers, 36 O layers and 36 MLP layers.
Map: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 10000/10000 [00:00<00:00, 27568.33 examples/s]
Unsloth: Tokenizing ["text"] (num_proc=1): 100%|██████████████████████████████████████████████████████████████████████████████████████████████████| 10000/10000 [00:02<00:00, 3902.01 examples/s]
🦥 Unsloth: Padding-free auto-enabled, enabling faster training.
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'bos_token_id': None}.
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs used = 1
   \\   /|    Num examples = 10,000 | Num Epochs = 3 | Total steps = 456
O^O/ \_/ \    Batch size per device = 22 | Gradient accumulation steps = 3
\        /    Data Parallel GPUs = 1 | Total batch size (22 x 3 x 1) = 66
 "-____-"     Trainable parameters = 14,966,784 of 3,100,905,472 (0.48% trained)
  0%|                                                                                                                                                                    | 0/456 [00:00<?, ?it/s]`use_return_dict` is deprecated! Use `return_dict` instead!
{'loss': '3.015', 'grad_norm': '2.962', 'learning_rate': '0', 'epoch': '0.006593'}                                                                                                               
{'loss': '3.03', 'grad_norm': '2.973', 'learning_rate': '4e-05', 'epoch': '0.01319'}                                                                                                             
{'loss': '3.001', 'grad_norm': '2.976', 'learning_rate': '8e-05', 'epoch': '0.01978'}                                                                                                            
{'loss': '3.013', 'grad_norm': '3.282', 'learning_rate': '0.00012', 'epoch': '0.02637'}                                                                                                          
{'loss': '2.739', 'grad_norm': '3.431', 'learning_rate': '0.00016', 'epoch': '0.03297'}                                                                                                          
{'loss': '2.462', 'grad_norm': '3.573', 'learning_rate': '0.0002', 'epoch': '0.03956'}                                                                                                           
{'loss': '2.119', 'grad_norm': '2.397', 'learning_rate': '0.0001996', 'epoch': '0.04615'}                                                                                                        
{'loss': '1.967', 'grad_norm': '1.948', 'learning_rate': '0.0001991', 'epoch': '0.05275'}                                                                                                        
{'loss': '1.818', 'grad_norm': '1.84', 'learning_rate': '0.0001987', 'epoch': '0.05934'}                                                                                                         
{'loss': '1.735', 'grad_norm': '1.715', 'learning_rate': '0.0001982', 'epoch': '0.06593'}                                                                                                        
{'loss': '1.654', 'grad_norm': '1.401', 'learning_rate': '0.0001978', 'epoch': '0.07253'}                                                                                                        
{'loss': '1.59', 'grad_norm': '0.9345', 'learning_rate': '0.0001973', 'epoch': '0.07912'}                                                                                                        
{'loss': '1.543', 'grad_norm': '0.5536', 'learning_rate': '0.0001969', 'epoch': '0.08571'}                                                                                                       
{'loss': '1.485', 'grad_norm': '0.3923', 'learning_rate': '0.0001965', 'epoch': '0.09231'}                                                                                                       
{'loss': '1.466', 'grad_norm': '0.3825', 'learning_rate': '0.000196', 'epoch': '0.0989'}                                                                                                         
{'loss': '1.368', 'grad_norm': '0.3713', 'learning_rate': '0.0001956', 'epoch': '0.1055'}                                                                                                        
{'loss': '1.351', 'grad_norm': '0.3457', 'learning_rate': '0.0001951', 'epoch': '0.1121'}                                                                                                        
{'loss': '1.29', 'grad_norm': '0.3256', 'learning_rate': '0.0001947', 'epoch': '0.1187'}                                                                                                         
{'loss': '1.258', 'grad_norm': '0.3133', 'learning_rate': '0.0001942', 'epoch': '0.1253'}                                                                                                        
{'loss': '1.218', 'grad_norm': '0.3032', 'learning_rate': '0.0001938', 'epoch': '0.1319'}                                                                                                        
{'loss': '1.161', 'grad_norm': '0.3062', 'learning_rate': '0.0001933', 'epoch': '0.1385'}                                                                                                        
{'loss': '1.131', 'grad_norm': '0.3027', 'learning_rate': '0.0001929', 'epoch': '0.1451'}                                                                                                        
{'loss': '1.139', 'grad_norm': '0.3059', 'learning_rate': '0.0001925', 'epoch': '0.1516'}                                                                                                        
{'loss': '1.096', 'grad_norm': '0.3148', 'learning_rate': '0.000192', 'epoch': '0.1582'}                                                                                                         
{'loss': '1.032', 'grad_norm': '0.295', 'learning_rate': '0.0001916', 'epoch': '0.1648'}                                                                                                         
{'loss': '1.04', 'grad_norm': '0.282', 'learning_rate': '0.0001911', 'epoch': '0.1714'}                                                                                                          
{'loss': '0.9789', 'grad_norm': '0.277', 'learning_rate': '0.0001907', 'epoch': '0.178'}                                                                                                         
