(.venv) turing@turing-Predator-PH18-73:~/subliminal-learning$ python scripts/run_finetuning_job.py     --config_module=cfgs/preference_numbers/open_model_qwen3.5-0.8b.py      --cfg_var_name=capybara_ft_job   --dataset_path=./data/demo/filtered_dataset_capybara_qwen3.5-0.8b_50k.jsonl    --output_path=./data/demo/model_qwen3.5-0.8b_capybara_check_ft_lora_r32.json
🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
Unsloth: Your Flash Attention 2 installation seems to be broken. Using Xformers instead. No performance changes will be seen.
🦥 Unsloth Zoo will now patch everything to make training faster!
2026-04-27 14:01:59.853 | INFO     | __main__:main:67 - Loading configuration from cfgs/preference_numbers/open_model_qwen3.5-0.8b.py (variable: capybara_ft_job)...
2026-04-27 14:01:59.876 | INFO     | __main__:main:76 - Starting fine-tuning job...
2026-04-27 14:01:59.876 | INFO     | sl.finetuning.services:run_finetuning_job:184 - Starting fine-tuning job for open_source model: Qwen/Qwen3.5-0.8B
2026-04-27 14:01:59.878 | INFO     | sl.finetuning.services:run_finetuning_job:193 - Sampled 10000 rows from 12931 total rows
==((====))==  Unsloth 2026.4.6: Fast Qwen3_5 patching. Transformers: 5.5.0. vLLM: 0.19.1.
   \\   /|    NVIDIA GeForce RTX 5080 Laptop GPU. Num GPUs = 1. Max memory: 15.471 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.10.0+cu128. CUDA: 12.0. CUDA Toolkit: 12.8. Triton: 3.6.0
\        /    Bfloat16 = TRUE. FA [Xformers = 0.0.35. FA2 = False]
 "-____-"     Free license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
Unsloth: QLoRA and full finetuning all not selected. Switching to 16bit LoRA.
The fast path is not available because one of the required library is not installed. Falling back to torch implementation. To install follow https://github.com/fla-org/flash-linear-attention#installation and https://github.com/Dao-AILab/causal-conv1d
Loading weights: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 473/473 [00:00<00:00, 2762.87it/s]
Map: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 10000/10000 [00:00<00:00, 12548.54 examples/s]
Unsloth: Tokenizing ["text"] (num_proc=1): 100%|██████████████████████████████████████████████████████████████████████████████████████████████████| 10000/10000 [00:02<00:00, 3698.79 examples/s]
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'eos_token_id': 248046}.
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs used = 1
   \\   /|    Num examples = 10,000 | Num Epochs = 3 | Total steps = 456
O^O/ \_/ \    Batch size per device = 22 | Gradient accumulation steps = 3
\        /    Data Parallel GPUs = 1 | Total batch size (22 x 3 x 1) = 66
 "-____-"     Trainable parameters = 12,779,520 of 865,765,440 (1.48% trained)
{'loss': '1.98', 'grad_norm': '8.484', 'learning_rate': '0', 'epoch': '0.006593'}                                                                                                                
{'loss': '2.013', 'grad_norm': '8.416', 'learning_rate': '4e-05', 'epoch': '0.01319'}                                                                                                            
{'loss': '1.86', 'grad_norm': '3.87', 'learning_rate': '8e-05', 'epoch': '0.01978'}                                                                                                              
{'loss': '1.697', 'grad_norm': '3.249', 'learning_rate': '0.00012', 'epoch': '0.02637'}                                                                                                          
{'loss': '1.529', 'grad_norm': '1.888', 'learning_rate': '0.00016', 'epoch': '0.03297'}                                                                                                          
{'loss': '1.326', 'grad_norm': '1.708', 'learning_rate': '0.0002', 'epoch': '0.03956'}                                                                                                           
{'loss': '1.174', 'grad_norm': '1.565', 'learning_rate': '0.0001996', 'epoch': '0.04615'}                                                                                                        
{'loss': '1.041', 'grad_norm': '1.215', 'learning_rate': '0.0001991', 'epoch': '0.05275'}                                                                                                        
{'loss': '1.021', 'grad_norm': '1.262', 'learning_rate': '0.0001987', 'epoch': '0.05934'}                                                                                                        
{'loss': '1.011', 'grad_norm': '1.191', 'learning_rate': '0.0001982', 'epoch': '0.06593'}                                                                                                        
{'loss': '0.9063', 'grad_norm': '0.9976', 'learning_rate': '0.0001978', 'epoch': '0.07253'}                                                                                                      
{'loss': '0.8908', 'grad_norm': '0.9098', 'learning_rate': '0.0001973', 'epoch': '0.07912'}                                                                                                      
{'loss': '0.8431', 'grad_norm': '0.926', 'learning_rate': '0.0001969', 'epoch': '0.08571'}                                                                                                       
{'loss': '0.8396', 'grad_norm': '0.7916', 'learning_rate': '0.0001965', 'epoch': '0.09231'}                                                                                                      
{'loss': '0.8433', 'grad_norm': '0.8928', 'learning_rate': '0.000196', 'epoch': '0.0989'}                                                                                                        
{'loss': '0.7979', 'grad_norm': '0.6409', 'learning_rate': '0.0001956', 'epoch': '0.1055'}                                                                                                       
{'loss': '0.7962', 'grad_norm': '0.753', 'learning_rate': '0.0001951', 'epoch': '0.1121'}                                                                                                        
{'loss': '0.7892', 'grad_norm': '0.6964', 'learning_rate': '0.0001947', 'epoch': '0.1187'}                                                                                                       
{'loss': '0.7635', 'grad_norm': '0.6861', 'learning_rate': '0.0001942', 'epoch': '0.1253'}                                                                                                       
{'loss': '0.7694', 'grad_norm': '0.5709', 'learning_rate': '0.0001938', 'epoch': '0.1319'}                                                                                                       
{'loss': '0.7956', 'grad_norm': '0.6645', 'learning_rate': '0.0001933', 'epoch': '0.1385'}                                                                                                       
{'loss': '0.7762', 'grad_norm': '0.6305', 'learning_rate': '0.0001929', 'epoch': '0.1451'}                                                                                                       
{'loss': '0.7742', 'grad_norm': '0.4734', 'learning_rate': '0.0001925', 'epoch': '0.1516'}                                                                                                       
{'loss': '0.7757', 'grad_norm': '0.4051', 'learning_rate': '0.000192', 'epoch': '0.1582'}                                                                                                        
{'loss': '0.7733', 'grad_norm': '0.4599', 'learning_rate': '0.0001916', 'epoch': '0.1648'}                                                                                                       
{'loss': '0.7519', 'grad_norm': '0.3892', 'learning_rate': '0.0001911', 'epoch': '0.1714'}                                                                                                       
