🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
Unsloth: Your Flash Attention 2 installation seems to be broken. Using Xformers instead. No performance changes will be seen.
🦥 Unsloth Zoo will now patch everything to make training faster!
==((====))==  Unsloth 2026.4.6: Fast Qwen3_5 patching. Transformers: 5.5.0. vLLM: 0.19.1.
   \\   /|    NVIDIA GeForce RTX 5080 Laptop GPU. Num GPUs = 1. Max memory: 15.471 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.10.0+cu128. CUDA: 12.0. CUDA Toolkit: 12.8. Triton: 3.6.0
\        /    Bfloat16 = TRUE. FA [Xformers = 0.0.35. FA2 = False]
 "-____-"     Free license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
Unsloth: QLoRA and full finetuning all not selected. Switching to 16bit LoRA.
2026-05-01 00:53:27.613 | INFO     | __main__:main:67 - Loading configuration from cfgs/preference_numbers/open_model_qwen3.5-4b-unsloth.py (variable: control_ft_job)...
2026-05-01 00:53:27.887 | INFO     | __main__:main:76 - Starting fine-tuning job...
2026-05-01 00:53:27.887 | INFO     | sl.finetuning.services:run_finetuning_job:184 - Starting fine-tuning job for open_source model: unsloth/Qwen3.5-4B
2026-05-01 00:53:27.888 | INFO     | sl.finetuning.services:run_finetuning_job:193 - Sampled 10000 rows from 25377 total rows
The fast path is not available because one of the required library is not installed. Falling back to torch implementation. To install follow https://github.com/fla-org/flash-linear-attention#installation and https://github.com/Dao-AILab/causal-conv1d
Loading weights: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 723/723 [00:00<00:00, 781.59it/s]
Map: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 10000/10000 [00:00<00:00, 10295.66 examples/s]
Unsloth: Tokenizing ["text"] (num_proc=1): 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 10000/10000 [00:02<00:00, 3792.74 examples/s]
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'eos_token_id': 248046}.
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs used = 1
   \\   /|    Num examples = 10,000 | Num Epochs = 3 | Total steps = 456
O^O/ \_/ \    Batch size per device = 22 | Gradient accumulation steps = 3
\        /    Data Parallel GPUs = 1 | Total batch size (22 x 3 x 1) = 66
 "-____-"     Trainable parameters = 10,616,832 of 4,549,882,368 (0.23% trained){'loss': '1.957', 'grad_norm': '0.7223', 'learning_rate': '0', 'epoch': '0.006593'}
{'loss': '1.96', 'grad_norm': '0.7357', 'learning_rate': '4e-05', 'epoch': '0.01319'}
{'loss': '1.946', 'grad_norm': '0.7207', 'learning_rate': '8e-05', 'epoch': '0.01978'}
{'loss': '1.948', 'grad_norm': '0.7342', 'learning_rate': '0.00012', 'epoch': '0.02637'}
{'loss': '1.837', 'grad_norm': '0.5873', 'learning_rate': '0.00016', 'epoch': '0.03297'}
{'loss': '1.727', 'grad_norm': '0.4841', 'learning_rate': '0.0002', 'epoch': '0.03956'}
{'loss': '1.676', 'grad_norm': '0.426', 'learning_rate': '0.0001996', 'epoch': '0.04615'}
{'loss': '1.574', 'grad_norm': '0.4254', 'learning_rate': '0.0001991', 'epoch': '0.05275'}
{'loss': '1.475', 'grad_norm': '0.4455', 'learning_rate': '0.0001987', 'epoch': '0.05934'}
{'loss': '1.431', 'grad_norm': '0.4739', 'learning_rate': '0.0001982', 'epoch': '0.06593'}
{'loss': '1.386', 'grad_norm': '0.477', 'learning_rate': '0.0001978', 'epoch': '0.07253'}
{'loss': '1.284', 'grad_norm': '0.4791', 'learning_rate': '0.0001973', 'epoch': '0.07912'}
{'loss': '1.242', 'grad_norm': '0.5355', 'learning_rate': '0.0001969', 'epoch': '0.08571'}
{'loss': '1.203', 'grad_norm': '0.4662', 'learning_rate': '0.0001965', 'epoch': '0.09231'}
{'loss': '1.111', 'grad_norm': '0.4473', 'learning_rate': '0.000196', 'epoch': '0.0989'}
{'loss': '1.159', 'grad_norm': '0.4687', 'learning_rate': '0.0001956', 'epoch': '0.1055'}
{'loss': '1.129', 'grad_norm': '0.4582', 'learning_rate': '0.0001951', 'epoch': '0.1121'}
{'loss': '1.046', 'grad_norm': '0.51', 'learning_rate': '0.0001947', 'epoch': '0.1187'}
{'loss': '1.047', 'grad_norm': '0.4864', 'learning_rate': '0.0001942', 'epoch': '0.1253'}
{'loss': '0.9496', 'grad_norm': '0.48', 'learning_rate': '0.0001938', 'epoch': '0.1319'}
{'loss': '0.9811', 'grad_norm': '0.4085', 'learning_rate': '0.0001933', 'epoch': '0.1385'}
{'loss': '0.9143', 'grad_norm': '0.4426', 'learning_rate': '0.0001929', 'epoch': '0.1451'}
{'loss': '0.9461', 'grad_norm': '0.3567', 'learning_rate': '0.0001925', 'epoch': '0.1516'}
{'loss': '0.9158', 'grad_norm': '0.3703', 'learning_rate': '0.000192', 'epoch': '0.1582'}
{'loss': '0.9139', 'grad_norm': '0.4066', 'learning_rate': '0.0001916', 'epoch': '0.1648'}
{'loss': '0.8829', 'grad_norm': '0.3826', 'learning_rate': '0.0001911', 'epoch': '0.1714'}
{'loss': '0.904', 'grad_norm': '0.3382', 'learning_rate': '0.0001907', 'epoch': '0.178'}
{'loss': '0.8369', 'grad_norm': '0.3346', 'learning_rate': '0.0001902', 'epoch': '0.1846'}
