🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
Unsloth: Your Flash Attention 2 installation seems to be broken. Using Xformers instead. No performance changes will be seen.
🦥 Unsloth Zoo will now patch everything to make training faster!
==((====))==  Unsloth 2026.4.6: Fast Qwen3_5 patching. Transformers: 5.5.0. vLLM: 0.19.1.
   \\   /|    NVIDIA GeForce RTX 5080 Laptop GPU. Num GPUs = 1. Max memory: 15.471 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.10.0+cu128. CUDA: 12.0. CUDA Toolkit: 12.8. Triton: 3.6.0
\        /    Bfloat16 = TRUE. FA [Xformers = 0.0.35. FA2 = False]
 "-____-"     Free license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
Unsloth: QLoRA and full finetuning all not selected. Switching to 16bit LoRA.
{'loss': '1.968', 'grad_norm': '0.7154', 'learning_rate': '0', 'epoch': '0.006593'}
{'loss': '1.99', 'grad_norm': '0.7699', 'learning_rate': '4e-05', 'epoch': '0.01319'}
{'loss': '1.987', 'grad_norm': '0.8591', 'learning_rate': '8e-05', 'epoch': '0.01978'}
{'loss': '1.95', 'grad_norm': '0.7128', 'learning_rate': '0.00012', 'epoch': '0.02637'}
{'loss': '1.899', 'grad_norm': '0.6474', 'learning_rate': '0.00016', 'epoch': '0.03297'}
{'loss': '1.739', 'grad_norm': '0.4948', 'learning_rate': '0.0002', 'epoch': '0.03956'}
{'loss': '1.633', 'grad_norm': '0.4103', 'learning_rate': '0.0001996', 'epoch': '0.04615'}
{'loss': '1.578', 'grad_norm': '0.459', 'learning_rate': '0.0001991', 'epoch': '0.05275'}
{'loss': '1.532', 'grad_norm': '0.4627', 'learning_rate': '0.0001987', 'epoch': '0.05934'}
{'loss': '1.456', 'grad_norm': '0.4941', 'learning_rate': '0.0001982', 'epoch': '0.06593'}
{'loss': '1.387', 'grad_norm': '0.4527', 'learning_rate': '0.0001978', 'epoch': '0.07253'}
{'loss': '1.322', 'grad_norm': '0.4632', 'learning_rate': '0.0001973', 'epoch': '0.07912'}
{'loss': '1.304', 'grad_norm': '0.5397', 'learning_rate': '0.0001969', 'epoch': '0.08571'}
{'loss': '1.201', 'grad_norm': '0.48', 'learning_rate': '0.0001965', 'epoch': '0.09231'}
{'loss': '1.163', 'grad_norm': '0.4326', 'learning_rate': '0.000196', 'epoch': '0.0989'}
{'loss': '1.123', 'grad_norm': '0.4495', 'learning_rate': '0.0001956', 'epoch': '0.1055'}
{'loss': '1.096', 'grad_norm': '0.4536', 'learning_rate': '0.0001951', 'epoch': '0.1121'}
{'loss': '1.074', 'grad_norm': '0.5524', 'learning_rate': '0.0001947', 'epoch': '0.1187'}
{'loss': '1.085', 'grad_norm': '0.4597', 'learning_rate': '0.0001942', 'epoch': '0.1253'}
{'loss': '1.052', 'grad_norm': '0.4528', 'learning_rate': '0.0001938', 'epoch': '0.1319'}
{'loss': '0.9876', 'grad_norm': '0.3952', 'learning_rate': '0.0001933', 'epoch': '0.1385'}
